"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","BCI","AMPLITUD","LTRENDIDX","M","1950-01",101.1194,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1950-02",101.6725,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1950-03",102.4097,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1950-04",103.4601,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1950-05",104.5189,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1950-06",105.1419,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1950-07",105.1654,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1950-08",104.5094,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1950-09",103.3554,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1950-10",102.4217,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1950-11",102.3919,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1950-12",102.8538,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1951-01",103.2035,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1951-02",103.0794,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1951-03",102.1701,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1951-04",100.674,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1951-05",99.35733,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1951-06",98.36102,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1951-07",97.88973,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1951-08",98.04294,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1951-09",98.52418,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1951-10",98.82406,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1951-11",98.74747,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1951-12",98.44983,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1952-01",97.97587,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1952-02",97.40037,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1952-03",96.89872,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1952-04",96.67257,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1952-05",97.04804,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1952-06",97.96236,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1952-07",99.21588,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1952-08",100.4093,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1952-09",100.8108,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1952-10",100.8741,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1952-11",100.8734,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1952-12",100.8623,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1953-01",100.8095,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1953-02",100.3851,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1953-03",99.8207,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1953-04",99.43713,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1953-05",99.11086,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1953-06",98.79197,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1953-07",98.33743,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1953-08",97.74031,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1953-09",97.09135,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1953-10",96.54854,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1953-11",96.24656,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1953-12",96.21209,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1954-01",96.55374,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1954-02",97.20515,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1954-03",97.9868,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1954-04",98.69406,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1954-05",99.21202,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1954-06",99.48052,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1954-07",99.51402,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1954-08",99.58135,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1954-09",100.0826,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1954-10",100.7868,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1954-11",101.4294,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1954-12",102.0607,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1955-01",102.5378,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1955-02",103.0143,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1955-03",103.2834,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1955-04",103.3774,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1955-05",103.2316,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1955-06",102.8584,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1955-07",102.6732,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1955-08",102.4778,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1955-09",102.2957,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1955-10",102.2532,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1955-11",102.2246,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1955-12",102.1651,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1956-01",101.7588,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1956-02",101.2851,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1956-03",100.8148,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1956-04",100.2353,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1956-05",99.49716,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1956-06",98.90203,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1956-07",98.7876,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1956-08",99.33833,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1956-09",99.91555,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1956-10",100.1426,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1956-11",100.2243,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1956-12",100.0918,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1957-01",99.8372,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1957-02",99.32977,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1957-03",98.67272,
