"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-01",101.6431,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-02",101.3806,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-03",101.1539,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-04",101.0288,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-05",101.0604,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-06",101.1498,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-07",101.1687,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-08",101.0259,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-09",100.8045,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-10",100.6208,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-11",100.5611,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-12",100.5826,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-01",100.6321,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-02",100.6848,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-03",100.7549,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-04",100.879,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-05",101.0814,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-06",101.2869,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-07",101.3856,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-08",101.2955,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-09",101.1322,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-10",101.0502,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-11",101.1592,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-12",101.3574,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-01",101.4989,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-02",101.4712,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-03",101.3294,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-04",101.1446,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-05",100.9654,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-06",100.8224,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-07",100.7561,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-08",100.8073,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-09",100.9319,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-10",101.0854,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-11",101.2345,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-12",101.3393,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-01",101.3403,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-02",101.1897,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-03",100.9861,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-04",100.8576,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-05",100.8967,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-06",101.0217,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-07",101.1253,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-08",101.137,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-09",101.1085,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-10",101.121,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-11",101.2342,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-12",101.394,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-01",101.5228,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-02",101.5641,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-03",101.5571,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-04",101.5559,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-05",101.5964,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-06",101.6574,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-07",101.704,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-08",101.711,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-09",101.6998,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-10",101.7037,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-11",101.7508,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-12",101.8325,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-01",101.94,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-02",102.0668,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-03",102.1852,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-04",102.2551,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-05",102.2424,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-06",102.1841,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-07",102.1216,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-08",102.0789,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-09",102.0452,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-10",101.9971,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-11",101.9133,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-12",101.8016,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-01",101.6676,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-02",101.5101,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-03",101.3388,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-04",101.1604,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-05",100.9774,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-06",100.795,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-07",100.6239,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-08",100.4827,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-09",100.3891,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-10",100.3855,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-11",100.5159,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-12",100.7143,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-01",100.9054,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-02",101.039,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-03",101.1304,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-04",101.1989,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-05",101.2483,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-06",101.2701,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-07",101.2389,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-08",101.1338,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-09",101.0139,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-10",100.9595,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-11",101.028,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-12",101.1443,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-01",101.2042,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-02",101.1303,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-03",100.9839,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-04",100.8467,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-05",100.7755,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-06",100.7477,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-07",100.7318,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-08",100.7159,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-09",100.7232,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-10",100.8001,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-11",100.9809,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-12",101.1824,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1969-01",101.2841,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1969-02",101.1856,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1969-03",100.9653,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1969-04",100.7107,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1969-05",100.4714,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1969-06",100.245,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1969-07",100.0129,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1969-08",99.76254,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1969-09",99.5157,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1969-10",99.31087,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1969-11",99.18211,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1969-12",99.09603,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1970-01",99.01648,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1970-02",98.9267,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1970-03",98.84487,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1970-04",98.80589,
