"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CLI","AMPLITUD","LTRENDIDX","M","1955-01",101.4755,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1955-02",101.8336,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1955-03",102.1301,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1955-04",102.339,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1955-05",102.4598,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1955-06",102.5001,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1955-07",102.5025,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1955-08",102.4878,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1955-09",102.4615,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1955-10",102.4073,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1955-11",102.2909,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1955-12",102.0877,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1956-01",101.7913,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1956-02",101.4475,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1956-03",101.111,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1956-04",100.7974,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1956-05",100.5258,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1956-06",100.3395,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1956-07",100.2728,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1956-08",100.3267,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1956-09",100.4463,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1956-10",100.5726,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1956-11",100.6562,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1956-12",100.6493,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1957-01",100.5323,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1957-02",100.3501,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1957-03",100.1072,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1957-04",99.84211,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1957-05",99.58395,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1957-06",99.30817,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1957-07",98.98098,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1957-08",98.58115,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1957-09",98.11167,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1957-10",97.61799,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1957-11",97.17081,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1957-12",96.8246,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1958-01",96.64124,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1958-02",96.65636,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1958-03",96.865,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1958-04",97.24226,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1958-05",97.77242,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1958-06",98.4056,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1958-07",99.07503,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1958-08",99.73728,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1958-09",100.3729,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1958-10",100.9826,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1958-11",101.5541,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1958-12",102.0751,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1959-01",102.5457,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1959-02",102.9211,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1959-03",103.159,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1959-04",103.234,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1959-05",103.1385,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1959-06",102.8835,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1959-07",102.5123,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1959-08",102.1008,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1959-09",101.7212,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1959-10",101.4158,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1959-11",101.1914,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1959-12",101.0148,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1960-01",100.7887,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1960-02",100.481,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1960-03",100.1403,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1960-04",99.8183,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1960-05",99.53688,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1960-06",99.29089,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1960-07",99.05943,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1960-08",98.84004,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1960-09",98.62305,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1960-10",98.437,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1960-11",98.31509,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1960-12",98.29289,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1961-01",98.38947,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1961-02",98.62526,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1961-03",98.98635,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1961-04",99.42059,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1961-05",99.86366,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1961-06",100.2759,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1961-07",100.6308,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1961-08",100.9209,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1961-09",101.1324,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1961-10",101.2629,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1961-11",101.3185,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1961-12",101.286,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1962-01",101.1581,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1962-02",100.9532,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1962-03",100.6739,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1962-04",100.3462,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1962-05",100.0152,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1962-06",99.72704,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1962-07",99.52827,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1962-08",99.42779,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1962-09",99.42347,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1962-10",99.5013,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1962-11",99.64299,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1962-12",99.81384,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1963-01",99.98278,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1963-02",100.1293,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1963-03",100.2449,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1963-04",100.3257,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1963-05",100.3562,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1963-06",100.3362,
