"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","QGDP","TOT","PC_CHGPP","Q","1947-Q2",-0.266705989,
"USA","QGDP","TOT","PC_CHGPP","Q","1947-Q3",-0.206503225,
"USA","QGDP","TOT","PC_CHGPP","Q","1947-Q4",1.56427638,
"USA","QGDP","TOT","PC_CHGPP","Q","1948-Q1",1.504200324,
"USA","QGDP","TOT","PC_CHGPP","Q","1948-Q2",1.650680594,
"USA","QGDP","TOT","PC_CHGPP","Q","1948-Q3",0.572930191,
"USA","QGDP","TOT","PC_CHGPP","Q","1948-Q4",0.111712158,
"USA","QGDP","TOT","PC_CHGPP","Q","1949-Q1",-1.37794649,
"USA","QGDP","TOT","PC_CHGPP","Q","1949-Q2",-0.34110093,
"USA","QGDP","TOT","PC_CHGPP","Q","1949-Q3",1.032424777,
"USA","QGDP","TOT","PC_CHGPP","Q","1949-Q4",-0.83926744,
"USA","QGDP","TOT","PC_CHGPP","Q","1950-Q1",3.930097999,
"USA","QGDP","TOT","PC_CHGPP","Q","1950-Q2",3.049810988,
"USA","QGDP","TOT","PC_CHGPP","Q","1950-Q3",3.864414603,
"USA","QGDP","TOT","PC_CHGPP","Q","1950-Q4",1.914780147,
"USA","QGDP","TOT","PC_CHGPP","Q","1951-Q1",1.358158764,
"USA","QGDP","TOT","PC_CHGPP","Q","1951-Q2",1.732710437,
"USA","QGDP","TOT","PC_CHGPP","Q","1951-Q3",2.060998798,
"USA","QGDP","TOT","PC_CHGPP","Q","1951-Q4",0.220249574,
"USA","QGDP","TOT","PC_CHGPP","Q","1952-Q1",1.068534409,
"USA","QGDP","TOT","PC_CHGPP","Q","1952-Q2",0.215396694,
"USA","QGDP","TOT","PC_CHGPP","Q","1952-Q3",0.721849215,
"USA","QGDP","TOT","PC_CHGPP","Q","1952-Q4",3.284215711,
"USA","QGDP","TOT","PC_CHGPP","Q","1953-Q1",1.858867482,
"USA","QGDP","TOT","PC_CHGPP","Q","1953-Q2",0.77293802,
"USA","QGDP","TOT","PC_CHGPP","Q","1953-Q3",-0.562677031,
"USA","QGDP","TOT","PC_CHGPP","Q","1953-Q4",-1.51394063,
"USA","QGDP","TOT","PC_CHGPP","Q","1954-Q1",-0.478023888,
"USA","QGDP","TOT","PC_CHGPP","Q","1954-Q2",0.108992196,
"USA","QGDP","TOT","PC_CHGPP","Q","1954-Q3",1.129346277,
"USA","QGDP","TOT","PC_CHGPP","Q","1954-Q4",1.956688077,
"USA","QGDP","TOT","PC_CHGPP","Q","1955-Q1",2.856234655,
"USA","QGDP","TOT","PC_CHGPP","Q","1955-Q2",1.627204957,
"USA","QGDP","TOT","PC_CHGPP","Q","1955-Q3",1.350464288,
"USA","QGDP","TOT","PC_CHGPP","Q","1955-Q4",0.600328737,
"USA","QGDP","TOT","PC_CHGPP","Q","1956-Q1",-0.388380468,
